qa1,qa2,qa3,qa4,q1,q2,q3,q4,q5a,q5b,q5c,q5d,q5e,q5f,q5g,q5h,q5i,q5j,q10,q11,q12,q13a,q13b,q13c,q13d,q13e,q13f,q14,q15a,q15b,q15c,q15d,q15e,q15f,q15g,q15h,q15i,q15j,q15k,q15l,q15m,q15n,q15o,q17,q18,q19,q20,q21,q22,q23,q24,q25,q26,q27,q28,q29,poids
6,1, ,2,1,6,6,2,1,4,3,2,3,4,3,1,4,6,2,3,2,3,4,3,2,4,2,2,2,2,2,2,3,3,2,3,2,3,3,3,2,2,2,2,2,1,3,3,3,1,1,1,3,7,1,2,0.694062114
2,1, ,2,1,2, ,2,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,1,6, ,2,5,9,1,1,1.62468338
6,1, ,4,2,6,6,2,5,5,1,1,5,5,6,6,6,1,1,2,1,1,2,1,1,2,2,3,1,2,2,2,2,3,2,4,3,2,2,2,2,2,1,2,2,1,3,1,1,6, ,1,2,5,1,2,1.171905637
7,1, ,3,1,1, ,1,2,3,1,2,1,4,1,1,4,1,1,4,3,1,3,1,2,3,5,3,1,1,1,3,2,3,3,3,2,2,2,3,1,2,1,2,2,2,1,1,3,4, ,1,1,6,1,3,0.475177228
3,1, ,4,2,3, ,4,2,4,4,1,1,4,1,2,6,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,4,3,4,1,1,4,4,3,1,1,2,2,1,2,3,3, ,2,2,2,3,2,3.038821459
3,1, ,1,2,2, ,3,2,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,3,2,3,1,2,3,2,1,1,1,2,1,4,3,3,1,2,2,3,3,1,2,1.120898485
5,2, ,2,1,1, ,2,2,4,1,2,1,4,3,1,4,1,1,2,1,2,2,1,2,2,2,2,1,1,1,4,1,4,4,4,4,1,1,4,1,1,1,1,2,1,3,1,3,1,1,1,3,4,1,2,0.611408412
3,1, ,2,1,6,3,2,1,2,2,3,1,4,3,2,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,3,2,3,3,3,3,2,2,3,2,1,2,2,2,2,1,2,1,3, ,1,5,3,1,3,0.980017841
6,2, ,2,2,6,6,2,2,4,1,6,1,4,3,2,6,6,2,2,2,3,2,2,3,3,4,2,2,3,1,1,2,1,2,3,2,3,2,2,3,3,3,2,2,1,2,2,3,4, ,2,1,4,1,3,0.666213214
7,1, ,3,1,2, ,2,2,4,1,3,3,2,3,4,3,4,1,2,1, ,2,1,2,2,1,2,2,2,2,3,2,3,3,3,2,2,2,2,2,2,2,1,2,1,3,3,1,4, ,1,1,2,1,2,0.475177228
4,2, ,4,2,1, ,2,1,1,1,2,1,1,2,3,4,1,2,2,2,2,2,2,3,2,3,2,2,2,2,3,2,2,3,3,3,2,2,3,2,2,3,2,2,1,1,1,1,2, ,1,2,1,1,2,1.177266717
5,2, ,4,2,1, ,2,2,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,3,2,3,3,2,1,2,1,2,3,3,3,1,1,2,2,3,3,1,2,2,1,1,1,2,7, ,2,4,1,1,1,1.032346487
5,2, ,2,2,1, ,2,5,4,1,2,1,5,2,1,4,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,2,3,3,2,2,2,2,2,2,2,2,2,2,1,1,2,7, ,1,2,5,3,3,1.122813344
6,1, ,2,1,1, ,2,5,5,5,5,5,5,5,5,5,5,3,3,3,3,4,5,4,4,4,3,3,2,3,2,3,2,3,3,2,3,2,3,3,3,3,2,2,1,2,1,1,4, ,1,1,9,1,2,0.694062114
3,2, ,4,1,4, ,3,5,5,5,5,5,5,5,5,5,5,2,3,4,3,3,3,2,3,2,4,3,2,2,2,3,4,3,3,4,3,4,4,4,4,3,1,2,1,1,6,1,6, ,2,3,1,1,1,1.053183079
6,1, ,1,1,1, ,2,2,4,1,2,1,4,2,1,4,4,3,3,2,2,5,1,1,3,1,3,2,2,1,2,3,2,2,4,2,4,3,3,1,2,3,2,2,1,3,4,1,1,2,1,3,1,1,1,0.793835282
7,1, ,1,2,3, ,3,2,3,3,6,1,1,1,2,5,2,1,1,1,1,1,1,2,1,2,2,2,2,1,1,2,2,2,3,3,2,1,2,1,2,2,2,1,2,1,2,3,4, ,1,3,2,2,1,1.490971684
5,2, ,4,2,4, ,3,2,4,4,4,3,4,1,2,4,4,1,1,1,1,1,1,1,1,1,2,1,1,1,3,2,4,2,4,3,1,2,2,3,2,2,2,2,1,3,4,2,1,2,1,2,3,1,2,1.032346487
7,2, ,4,1,6,1,2,2,6,6,6,1,6,6,6,6,1,2,2,2,3,2,3,2,3,3,2,1,1,1,1,2,2,2,3,2,2,2,2,3,2,2,2,2,2,2,6,1,4, ,1,3,1,1,2,1.357936025
7,2, ,4,2,6,6,4,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,4,3,3,2,1,3,4,2,1,4,1,2,2,1,6,3,2, ,1,3,2,2,2,2.493766785
7,1, ,2,2,2, ,3,2,4,2,3,4,4,3,3,3,3,1,2,2,2,3,3,3,3,2,4,1,1,2,2,2,1,3,2,2,2,2,3,2,2,2,2,2,1,4,3,3,4, ,1,1,7,1,3,0.70984
6,2, ,3,1,1, ,1,5,5,5,2,5,5,2,5,5,5,2,2,2,3,3,2,1,3,2,2,1,1,2,2,2,3,2,1,1,1,2,2,3,1,2,2,2,2,1,1,1,7, ,2,3,1,1,1,0.445973217
7,2, ,1,1,1, ,2,2,4,1,1,3,4,1,2,4,1,1,2,1,1,3,2,3,2,3,2,2,3,1,1,3,3,3,3,2,2,3,4,2,2,3,2,2,1,3,1,3,4, ,1,3,2,1,2,0.919848382
3,2, ,1,2,2, ,3,6,3,3,3,6,3,3,6,3,3,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,3,2,1,2,2,1,4,2,1,2,2,2,1,4,3,1,1,2,2,3,2,1,1,0.713415027
6,1, ,3,2,2, ,3,1,4,3,4,4,3,3,2,4,3,2,2,1,1,2,1,3,1,3,2,1,1,1,2,2,1,3,3,3,1,2,3,2,2,2,2,2,1,3,3,3,4, ,1,1,5,1,2,0.464615017
7,1, ,2,1,1, ,2,2,4,1,1,1,3,3,1,6,1,2,3,2,3, ,2,2,3,2,3,2,2,2,3,2,1,2,3,2,2,2,1,1,3,2,2,2,1,1,1,1,4, ,1,1,2,1,2,0.70984
4,2, ,1,1,6,6,2,2,6,5,6,6,6,6,2,5,5,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,3,2,3,4,1,2,2,2,1,1,2,2,1,1,6,3,2, ,2,1,6,1,1,0.797467113
4,2, ,4,2,1, ,2,6,6,6,6,6,6,6,6,6,6,3,3,3,3,3,4,3,4,5,3,1,2,3,2,4,2,4,3,2,2,2,2,2,2,4,2,2,2,2,3,1,1,1,1,2,5,1,4,1.177266717
7,1, ,2,2,6,6,3,2,5,5,5,5,5,5,5,5,5,4,4,4,4,3,3,3,3,4,4,3,3,3,1,4,1,1,3,1,4,3,1,2,4,4,2,2,1,4,3,2,4, ,1,1,4,1,3,0.70984
5,1, ,4,1,3, ,1,1,1,1,1,1,1,1,1,1,1,4,4,4,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1, ,1,1,1,1,2,3,1,3,1.05647707
3,1, ,1,1,3, ,2,2,5,4,2,3,1,2,3,2,4,2,2,2,2,3,1,3,3,4,2,2,2,2,2,3,3,3,4,1,2,3,3,3,2,3,2,2,2,1,6,3,1,2,2,3,2,1,1,1.120898485
