"","IdCirc","nom2011","nom2015","nom2019","nameChange"
"159",35049,"Mississauga--Erindale","Lanark--Frontenac--Kingston","Lanark--Frontenac--Kingston",1
"160",35050,"Mississauga-Sud","Leeds-Grenville-Thousand Islands et Rideau Lakes","Leeds--Grenville--Thousand Islands et Rideau Lakes",1
"161",35051,"Mississauga--Streetsville","London--Fanshawe","London--Fanshawe",1
"162",35052,"Nepean--Carleton","London-Centre-Nord","London-Centre-Nord",1
"163",35053,"Newmarket--Aurora","London-Ouest","London-Ouest",1
"164",35054,"Niagara Falls","Markham--Stouffville","Markham--Stouffville",1
"165",35055,"Niagara-Ouest--Glanbrook","Markham--Thornhill","Markham--Thornhill",1
"166",35056,"Nickel Belt","Markham--Unionville","Markham--Unionville",1
"167",35057,"Nipissing--Timiskaming","Milton","Milton",1
"168",35058,"Northumberland--Quinte West","Mississauga-Centre","Mississauga-Centre",1
"169",35059,"Oak Ridges--Markham","Mississauga-Est--Cooksville","Mississauga-Est--Cooksville",1
"170",35060,"Oakville","Mississauga--Erin Mills","Mississauga--Erin Mills",1
"171",35061,"Oshawa","Mississauga--Lakeshore","Mississauga--Lakeshore",1
"172",35062,"Ottawa-Centre","Mississauga--Malton","Mississauga--Malton",1
"173",35063,"Ottawa--Orl<e9>ans","Mississauga--Streetsville","Mississauga--Streetsville",1
"174",35064,"Ottawa-Sud","Nepean","Nepean",1
"175",35065,"Ottawa--Vanier","Newmarket--Aurora","Newmarket--Aurora",1
"176",35066,"Ottawa-Ouest--Nepean","Niagara-Centre","Niagara-Centre",1
"177",35067,"Oxford","Niagara Falls","Niagara Falls",1
"178",35068,"Parkdale--High Park","Niagara-Ouest","Niagara-Ouest",1
"179",35069,"Parry Sound--Muskoka","Nickel Belt","Nickel Belt",1
"180",35070,"Perth--Wellington","Nipissing--Timiskaming","Nipissing--Timiskaming",1
"181",35071,"Peterborough","Northumberland--Peterborough-Sud","Northumberland--Peterborough-Sud",1
"182",35072,"Pickering--Scarborough-Est","Oakville","Oakville",1
"183",35073,"Prince Edward--Hastings","Oakville-Nord--Burlington","Oakville-Nord--Burlington",1
"184",35074,"Renfrew--Nipissing--Pembroke","Oshawa","Oshawa",1
"185",35075,"Richmond Hill","Ottawa-Centre","Ottawa-Centre",1
"186",35076,"St. Catharines","Orléans","Orléans",1
"187",35077,"St. Paul's","Ottawa-Sud","Ottawa-Sud",1
"188",35078,"Sarnia--Lambton","Ottawa--Vanier","Ottawa--Vanier",1
"189",35079,"Sault Ste. Marie","Ottawa-Ouest--Nepean","Ottawa-Ouest--Nepean",1
"190",35080,"Scarborough--Agincourt","Oxford","Oxford",1
"191",35081,"Scarborough-Centre","Parkdale--High Park","Parkdale--High Park",1
"192",35082,"Scarborough--Guildwood","Parry Sound--Muskoka","Parry Sound--Muskoka",1
"193",35083,"Scarborough--Rouge River","Perth--Wellington","Perth--Wellington",1
